,BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR
72-2,36.5693631,7.6559553,17.308552,10.3678397,47.4403635,7.8751025,8.2947555,3.9521419,12.8222336,3.9521419,3.9521419,3.9521419,3.9521419,15.4686596,24.0371582,11.6724764,10.5955343,20.4089655,5.5872889,10.6091365,3.9521419,10.1209572,12.8351546,24.4952033,16.546571,17.5511031,27.2247805,14.7658624,12.6618551,12.9952428,14.711673,9.6692374,10.786667,3.9521419,18.8821465,10.7569274,15.0135686,3.9521419,12.0059012,11.1110397,8.8354333,10.4945944,13.7506676,23.161021,11.2269258
72-3,17.4137666,11.2112762,3.9168753,8.1511989,54.5842012,3.9168753,7.1273889,12.9835346,10.7191494,3.9168753,8.1593557,13.1321806,13.5207412,14.0972036,18.477576,14.6081788,21.4635126,8.4983792,7.1579442,3.9168753,15.232984,11.8937047,13.5270561,21.799267,18.841941,20.519945,11.4729693,3.9168753,12.4483953,17.3074864,12.9915376,11.3069956,11.2756625,11.3627329,28.3317643,12.7601514,9.8675593,3.9168753,12.2117787,11.1612341,6.9110404,7.982768,11.7825921,11.8402713,8.2759466
72-4,23.1467643,9.6193673,12.7179534,11.8000881,16.2476494,3.8651704,11.5107484,13.332757,21.4836978,9.1498352,3.8651704,12.2318705,3.8651704,19.8419606,17.0922079,13.2508811,27.1427578,12.0745891,6.2491291,3.8651704,8.9405109,11.0817794,13.5719892,21.3296402,20.288885,16.0169579,20.95548,20.3862384,15.362189,15.6758348,11.7763572,14.7688657,12.1819464,24.2010998,11.987939,14.0861947,18.8700329,3.8651704,11.3964017,17.4186904,8.0087444,9.5783107,13.5851628,3.8651704,3.8651704
72-5,24.6938045,3.978915,16.8364573,12.9957771,17.7864319,3.978915,9.6309384,14.0512247,23.0594134,3.978915,11.2036767,3.978915,3.978915,17.6335658,25.4192225,15.9945793,19.9992233,31.6489076,5.3092058,9.6096833,3.978915,11.0866128,10.77449,17.3957027,18.1548151,16.3353911,21.6023115,23.309974,12.908251,13.0963376,12.3107123,3.978915,9.7359363,14.1593727,17.1938444,11.0690559,16.8685969,3.978915,12.1242898,9.7005858,9.5346538,7.7664191,11.6902554,3.978915,8.4032069
72-6,28.4107294,12.0330813,10.8093225,10.5201546,18.2986619,4.0991394,12.0045608,13.7108149,16.4208257,4.0991394,4.0991394,10.8396288,4.0991394,18.4741381,18.4120623,15.6324615,20.4843189,18.817343,7.5113635,14.7340226,4.0991394,12.5207065,10.7536975,17.194783,21.1236777,17.3327312,23.2532129,18.4400346,12.1542964,20.0558101,14.6308123,11.2202726,9.6035414,15.8522727,17.7790463,16.0500724,23.6577234,7.4382467,12.3183142,11.9431781,7.9097541,10.8423981,14.5296166,9.6656434,9.4503703
72-7,20.3509546,11.9237865,11.7686819,8.2305363,30.7269268,4.0399868,9.5105292,13.115004,12.1148027,4.0399868,10.3790867,12.6385346,11.8524107,14.2254023,23.0412362,15.2414599,14.7530985,16.5259929,8.0571216,14.0444655,9.055654,8.2738746,13.51087,18.596739,22.4192719,21.0474534,24.4641526,13.9814641,15.5785536,15.8220234,14.6875866,10.8363687,11.0481817,11.1725039,13.8315528,15.2046801,17.0827956,11.2369516,14.3268594,12.0474906,8.9532106,8.8961281,15.3959048,10.2368102,8.3662597
72-8,34.0450493,8.9836137,7.8091411,10.4586025,14.619964,4.1595512,9.3092112,11.4476188,16.1729684,4.1595512,4.1595512,4.1595512,4.1595512,16.9766835,16.8183979,19.8709189,23.9061528,20.8523762,7.3672799,15.0178199,4.1595512,16.6729976,4.1595512,15.5696985,19.8075318,18.7482145,23.157471,11.9776122,16.9742162,11.9848794,14.5949302,8.7265764,12.2949276,16.6462807,25.0381698,14.9813213,30.3818753,4.1595512,10.946771,4.1595512,10.4242218,11.4438714,14.987813,4.1595512,10.6050806
72-9,12.838294,4.2372342,11.1298491,4.2372342,18.8073846,12.0864576,6.8735457,8.2373441,16.1047089,4.2372342,12.1054905,12.3811687,4.2372342,11.1713144,12.1619438,14.7063433,22.3539836,10.5122591,10.4229217,4.2372342,4.2372342,15.2520076,14.6848685,15.4405179,20.1484552,11.9573774,13.572862,13.8642472,14.8951342,19.8724432,17.110031,15.6752446,12.7520627,13.4629032,20.9193883,13.1216912,9.4502283,4.2372342,13.2905979,4.2372342,4.2372342,4.2372342,12.4563797,4.2372342,8.803005
72-10,9.531575,9.4580924,8.6543273,8.6784116,32.7085754,6.7716937,10.5168989,13.1071918,12.7665977,3.8678125,3.8678125,8.7480594,3.8678125,7.5896746,18.6937842,17.0005975,17.2609194,8.282201,4.974365,14.7707938,11.4964576,12.0598823,15.6212511,16.9832111,19.0874167,19.9237788,9.4768067,9.9585718,16.7963745,12.2141223,11.4652241,3.8678125,10.1441154,9.9795463,17.6263225,11.375707,13.1598569,3.8678125,12.9293337,11.6086362,6.1226239,7.0738779,8.9468422,11.8988349,8.7621096
72-11,25.8953824,9.2563458,14.9328037,8.031914,16.0164658,3.7657406,9.5449053,9.8594223,11.5167949,3.7657406,3.7657406,3.7657406,3.7657406,13.168697,16.9089687,14.4596196,12.6485979,25.4419483,5.2681594,9.8435558,8.7666916,8.2864616,12.1215803,14.6620785,20.8586007,22.5464586,20.5519165,16.9774205,12.8718718,15.609305,11.9143804,3.7657406,9.872251,16.2905884,3.7657406,12.7818217,24.6359416,3.7657406,11.0019533,11.2776839,7.6364844,10.0730449,14.1448472,10.1375079,3.7657406
72-12,15.0489009,10.5941515,12.4923007,9.474188,17.0894948,10.6364594,7.2473964,13.0267287,15.2755549,4.0888088,8.6789711,4.0888088,4.0888088,4.0888088,15.6648274,10.3155838,21.7804931,17.274349,6.3764442,13.0174287,4.0888088,9.6573155,13.7392716,14.1537575,18.6404804,16.3372797,20.4210504,12.2556586,13.2423732,14.2217346,10.0029486,13.2086932,9.7516365,4.0888088,15.3487042,13.1333813,20.097055,4.0888088,11.2946106,10.4855182,9.2151587,11.3683886,14.3342163,16.9717049,4.0888088
