,Etv5,Ddit4,Nefl,Nanog,Ifitm1,Sox2,Sall4,Tcf7,Slc7a3,Otx2,Cldn4,Pim1,Pou5f1,Col18a1,Sgce,Tdgf1,Dnmt3b,Sparc,Tfb1m,Id3,Stat3,Nodal,Esrrb,Pim2,1190005I06Rik,Tdh,1700019D03Rik,Schip1,Galk1,Mycn,Fxyd6,Gbx2,Tspan17,Spry4,Ifitm3,Slc7a7,Upp1,Cds1,Nptx2,Sdc4,Fgfbp1,Klf6,Slc2a3,Nr5a2
cell_1709,0.0,0.0,0.0,0.0,0.0,0.0,2.9320753,0.0,0.0,0.0,0.0,1.6940793,3.1445043,3.3196185,0.0,0.0,1.6940793,1.6940793,1.6940793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6619992,0.0,0.0,0.0,0.0,0.0,1.6940793,0.0,0.0,0.0,0.0,1.6940793,0.0,0.0,2.9320753,0.0
cell_1710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4149517,0.0,0.0,2.600105,0.0,0.0,1.9785951,1.4149517,0.0,1.9785951,1.4149517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4149517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9785951,1.4149517,2.600105,3.470813,0.0
cell_1711,2.0729282,0.0,0.0,0.0,2.0729282,0.0,2.0729282,0.0,0.0,0.0,0.0,0.0,0.0,3.3601062,2.0729282,2.0729282,2.701101,0.0,2.0729282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0729282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_1712,2.401643,0.0,0.0,0.0,0.0,1.4695091,0.0,0.0,0.0,0.0,1.4695091,0.0,3.0484483,0.0,0.0,0.0,2.8755686,1.4695091,1.4695091,0.0,0.0,0.0,0.0,3.0484483,0.0,0.0,1.4695091,0.0,1.4695091,0.0,0.0,0.0,0.0,1.4695091,0.0,0.0,1.4695091,0.0,1.4695091,0.0,0.0,1.4695091,1.4695091,0.0
cell_1713,0.0,0.0,0.0,1.7622708,1.7622708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.010749,2.3656821,0.0,1.7622708,1.7622708,1.7622708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.010749,1.7622708,2.3656821,0.0,1.7622708,0.0,0.0,0.0,0.0,0.0,0.0,2.739352,0.0,0.0,1.7622708,0.0,0.0,2.739352,1.7622708
cell_1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7646462,0.0,2.742034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3682804,0.0,1.7646462,0.0,0.0
cell_1715,0.0,0.0,0.0,0.0,0.0,1.7012138,0.0,0.0,0.0,0.0,1.7012138,1.7012138,2.2986968,0.0,1.7012138,0.0,0.0,2.9403455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7012138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7012138,1.7012138,0.0
cell_1716,0.0,0.0,0.0,0.0,1.8499683,0.0,1.3028609,0.0,0.0,0.0,0.0,0.0,1.3028609,1.8499683,1.3028609,0.0,0.0,3.417002,0.0,1.8499683,1.3028609,2.2015958,0.0,0.0,0.0,0.0,0.0,1.8499683,0.0,0.0,1.3028609,0.0,0.0,1.3028609,0.0,0.0,0.0,0.0,0.0,1.8499683,0.0,1.3028609,0.0,0.0
cell_1717,0.0,0.0,0.0,0.0,0.0,1.5264279,0.0,0.0,0.0,0.0,0.0,2.104551,2.7348113,0.0,0.0,2.468534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104551,0.0,0.0,0.0,0.0,1.5264279,0.0,0.0,0.0,0.0,2.104551,0.0,0.0,1.5264279,0.0,0.0,1.5264279,1.5264279,1.5264279,1.5264279,0.0
cell_1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1530924,1.1530924,0.0,0.0,0.0,1.1530924,0.0,1.1530924,0.0,0.0,0.0,1.6744666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6744666,0.0,0.0,0.0,1.1530924,2.2692244,0.0,0.0
cell_1719,0.0,0.0,0.0,0.0,0.0,2.262449,0.0,0.0,1.668328,1.668328,0.0,0.0,1.668328,2.9021451,1.668328,0.0,2.6325994,2.6325994,0.0,2.262449,0.0,1.668328,0.0,0.0,0.0,0.0,0.0,0.0,1.668328,1.668328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.668328,3.7849379,0.0
cell_1720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2849436,2.2849436,2.9258602,0.0,0.0,0.0,0.0,2.9258602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2849436,0.0,2.2849436,0.0,0.0,0.0,0.0,2.2849436,0.0,0.0
cell_1721,0.0,0.0,1.6590691,0.0,1.6590691,1.6590691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6220021,2.6220021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6590691,0.0,0.0,0.0,0.0,1.6590691,0.0,0.0,0.0,0.0,0.0,2.2522213,1.6590691,2.6220021,0.0
cell_1722,2.1867466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1867466,0.0,2.1867466,0.0,3.4850717,2.1867466,2.1867466,2.8221157,0.0,2.8221157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1867466,0.0,2.1867466,0.0,0.0,2.1867466,0.0,2.1867466,0.0,0.0,0.0,0.0,0.0,0.0,2.1867466,0.0,3.2075548,0.0
cell_1723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.826686,0.0,1.8399884,0.0,0.0,0.0,1.2942427,3.099455,0.0,1.2942427,0.0,1.2942427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2942427,0.0,1.2942427,2.4503953,0.0
cell_1724,0.0,1.3530236,0.0,0.0,0.0,0.0,1.9077947,0.0,1.3530236,1.3530236,0.0,0.0,0.0,2.262525,0.0,1.3530236,2.523841,2.7308245,0.0,1.3530236,0.0,0.0,0.0,1.9077947,0.0,0.0,0.0,0.0,1.9077947,1.3530236,1.3530236,1.3530236,0.0,0.0,0.0,0.0,0.0,0.0,1.3530236,0.0,1.9077947,2.262525,2.523841,0.0
